ts	phase	decision	why	evidence	result
2026-07-31T04:30:51Z	frame	Use upstream v0.2.0 as the workflow core and retain Herdr spawn as the product agent boundary	A greenfield feature build should inherit upstream replay work without giving up the required authoring interface	/tmp/pi-workflows-upstream.hpowMl, src/workflows/types.ts	accepted
2026-07-31T04:30:51Z	baseline	Captured the pre-migration static and runtime checks	Each migration unit needs a known-good comparison point	npm test, npm run typecheck	37 tests pass and typecheck exits 0
2026-07-31T04:30:51Z	design	Kept AgentSpawnParams, ResolvedAgentSpawn, request.spawn, attempt paths, and workflow_done as one end-to-end contract	The spawn interface is a product requirement and must not become executor metadata	Herdr agent upstream_architect on grok-cli/grok-4.5	accepted
2026-07-31T04:41:41Z	migration	Replaced the workflow core with upstream v0.2.0 and isolated the Herdr graft to six files	A greenfield product should converge directly on the target core rather than preserve the old Effect facade	src/workflows, scripts/check-upstream-workflows.sh	accepted
2026-07-31T04:41:41Z	pivot	Replaced the obsolete Effect adoption test with run-bundle foundation checks	The first post-import test run failed because it asserted the intentionally removed Effect store API	test/effect-adoption.test.ts, test/upstream-foundation.test.ts	36 tests pass
2026-07-31T04:41:41Z	replay-boundary	Deferred upstream SessionRecorder integration	The orchestrator hook would omit Herdr child conversations and finish before the outer tool result, creating misleading partial replay	docs/upstream-sync.md, Herdr agent upstream_architect on grok-cli/grok-4.5	deferred pending Herdr-aware capture
2026-07-31T04:41:41Z	verification	Verified spawn resolution, artifacts, private modes, malformed-bundle isolation, exact upstream files, types, and production dependencies	The migrated core and retained product boundary need executable proof	npm test; npm run typecheck; scripts/check-upstream-workflows.sh /tmp/pi-workflows-upstream.hpowMl; npm audit --omit=dev	36 tests pass; typecheck exits 0; 8 exact files; 0 production vulnerabilities
2026-07-31T04:56:18Z	runtime-pivot	Added the Grok provider extension to the live spawn	Workflow children use -ne, so selecting grok-cli/grok-4.5 without its provider extension exits before prompt delivery	live Herdr attempt and README.md	first attempt failed as expected; requirement documented
2026-07-31T04:56:18Z	runtime-proof	Ran a real Herdr Pi child with grok-cli/grok-4.5 through spawn.extensions and workflow_done	The product claim requires the actual child boundary, not only a fake executor	temporary live workflow, run 20260731T044746Z-live-spawn-proof-7b7b7683	completed in one attempt with {reply: spawn-interface-retained}; artifacts removed
2026-07-31T04:56:18Z	cross-review	Gemini 3.1 Pro reviewed the diff and audit trail through a Pi subagent	A different model family was required to challenge the migration	Herdr agent upstream_reviewer on cursor/gemini-3.1-pro	audit sufficient; spawn retained; session replay gap already deferred; kind and Effect flags dismissed as category error and stale dependency state
2026-07-31T04:57:01Z	final	Repeated the complete static suite and verified package contents	The final tree must remain reproducible after documentation and dependency cleanup	npm test; npm run typecheck; npm run check:upstream -- /tmp/pi-workflows-upstream.hpowMl; npm pack --dry-run --json; git diff --check	36 tests pass; typecheck exits 0; upstream exact files pass; 43 package entries; diff check clean
